ngram,rank,freq,cumshare
русской,930,1305831,0.492
очевидно,931,1305296,0.492
окно,932,1304863,0.492
позже,933,1303606,0.492
речи,934,1302561,0.492
множество,935,1300486,0.492
большая,936,1300410,0.492
душе,937,1300271,0.492
огонь,938,1299834,0.492
ближе,939,1299831,0.492
памяти,940,1298995,0.492
дорогу,941,1298502,0.492
улице,942,1298449,0.493
сила,943,1297003,0.493
черт,944,1296024,0.493
последнее,945,1294033,0.493
спустя,946,1292427,0.493
отъ,947,1291279,0.493
говорила,948,1289584,0.493
личности,949,1288925,0.493
цвета,950,1288362,0.493
другую,951,1287428,0.493
исследования,952,1287405,0.493
внезапно,953,1285952,0.494
вечер,954,1282797,0.494
какие-то,955,1282752,0.494
большинство,956,1282075,0.494
внимательно,957,1281856,0.494
плечами,958,1277655,0.494
пора,959,1277622,0.494
функции,960,1277155,0.494
утра,961,1276779,0.494
душу,962,1274250,0.494
образ,963,1272195,0.494
стояла,964,1271761,0.495
статья,965,1271611,0.495
душа,966,1271603,0.495
декабря,967,1268035,0.495
молча,968,1265832,0.495
месяц,969,1264869,0.495
пошли,970,1264651,0.495
спиной,971,1264160,0.495
водой,972,1264051,0.495
девочка,973,1263158,0.495
отношение,974,1262528,0.495
временем,975,1258806,0.495
недавно,976,1256453,0.496
осторожно,977,1255237,0.496
первое,978,1254946,0.496
поводу,979,1254508,0.496
сторон,980,1254202,0.496
уровня,981,1253046,0.496
мужа,982,1252955,0.496
состав,983,1248675,0.496
остался,984,1247841,0.496
энергии,985,1247096,0.496
представляет,986,1246153,0.496
ума,987,1245085,0.496
концов,988,1242687,0.497
сердца,989,1240191,0.497
слышал,990,1237942,0.497
ряд,991,1233264,0.497
поднял,992,1233262,0.497
оказалась,993,1232630,0.497
пришла,994,1230335,0.497
целом,995,1229891,0.497
хочется,996,1229769,0.497
настоящее,997,1228541,0.497
службы,998,1228489,0.497
наоборот,999,1228058,0.497
что-нибудь,1000,1227742,0.498
июля,1001,1225810,0.498
зависимости,1002,1224657,0.498
пожалуйста,1003,1223175,0.498
вышла,1004,1222794,0.498
спать,1005,1222269,0.498
дороги,1006,1221318,0.498
никому,1007,1220386,0.498
уровне,1008,1220251,0.498
опыт,1009,1219609,0.498
верно,1010,1217370,0.498
смог,1011,1216417,0.498
стороне,1012,1214381,0.499
доктор,1013,1213050,0.499
трудом,1014,1209976,0.499
вашего,1015,1209678,0.499
ах,1016,1208699,0.499
вести,1017,1204574,0.499
вдоль,1018,1203852,0.499
силой,1019,1203773,0.499
языка,1020,1203416,0.499
девушки,1021,1203173,0.499
наверняка,1022,1202849,0.499
шел,1023,1202624,0.499
страх,1024,1200800,0.500
машину,1025,1199774,0.500
ваша,1026,1197211,0.500
тяжело,1027,1196529,0.500
будете,1028,1195881,0.500
процессе,1029,1194588,0.500
касается,1030,1194180,0.500
решила,1031,1193189,0.500
хуже,1032,1193052,0.500
вряд,1033,1192145,0.500
комнаты,1034,1191400,0.500
дух,1035,1190557,0.500
большую,1036,1189330,0.501
