ngram,rank,freq,cumshare
additional,809,28135761,0.542
post,810,28096046,0.543
boy,811,27915697,0.543
page,812,27760626,0.543
ability,813,27741613,0.543
speak,814,27700247,0.543
brother,815,27692755,0.543
income,816,27568829,0.543
defined,817,27554521,0.543
letter,818,27551190,0.543
parts,819,27539179,0.544
share,820,27523799,0.544
easy,821,27427275,0.544
eye,822,27413932,0.544
products,823,27307567,0.544
processes,824,27279449,0.544
river,825,27234564,0.544
choice,826,27222819,0.544
recent,827,27153557,0.544
pulled,828,27117250,0.544
published,829,27108652,0.545
date,830,27107546,0.545
network,831,27095257,0.545
created,832,27081269,0.545
deal,833,27072055,0.545
wide,834,26973737,0.545
object,835,26888602,0.545
game,836,26879361,0.545
federal,837,26849540,0.545
meeting,838,26844823,0.545
fall,839,26812606,0.546
bank,840,26747769,0.546
blue,841,26736104,0.546
smile,842,26734076,0.546
directly,843,26666720,0.546
passed,844,26620594,0.546
region,845,26602921,0.546
site,846,26588496,0.546
skin,847,26584163,0.546
allow,848,26583540,0.546
reported,849,26531457,0.547
solution,850,26528778,0.547
established,851,26483399,0.547
sir,852,26462190,0.547
authority,853,26461089,0.547
provides,854,26431223,0.547
phone,855,26367280,0.547
appropriate,856,26342802,0.547
primary,857,26318659,0.547
despite,858,26301689,0.547
brain,859,26298008,0.548
memory,860,26278659,0.548
mark,861,26265299,0.548
original,862,26262759,0.548
direction,863,26249508,0.548
hour,864,26173652,0.548
oil,865,26171093,0.548
box,866,26154946,0.548
distance,867,26152591,0.548
learn,868,26142321,0.548
arm,869,26132137,0.549
except,870,26116692,0.549
status,871,26059582,0.549
communication,872,26021777,0.549
flow,873,26009288,0.549
takes,874,26008658,0.549
member,875,25961188,0.549
closed,876,25888957,0.549
ago,877,25888006,0.549
die,878,25867787,0.549
elements,879,25863119,0.549
worked,880,25856544,0.550
please,881,25817471,0.550
window,882,25813747,0.550
contact,883,25791234,0.550
models,884,25760992,0.550
board,885,25709832,0.550
lines,886,25692074,0.550
ideas,887,25682939,0.550
average,888,25656383,0.550
yourself,889,25602757,0.550
species,890,25595767,0.551
college,891,25561725,0.551
standing,892,25535200,0.551
distribution,893,25475864,0.551
trust,894,25467301,0.551
heat,895,25452470,0.551
immediately,896,25450591,0.551
justice,897,25398173,0.551
included,898,25374914,0.551
throughout,899,25369287,0.551
sun,900,25362547,0.552
entire,901,25278242,0.552
army,902,25243232,0.552
condition,903,25209866,0.552
industry,904,25208878,0.552
tax,905,25205856,0.552
applied,906,25172137,0.552
volume,907,25150426,0.552
round,908,25138580,0.552
decided,909,25137661,0.552
add,910,25134410,0.552
meant,911,25083049,0.553
happy,912,25077313,0.553
whatever,913,25062335,0.553
stand,914,24989552,0.553
temperature,915,24943289,0.553
mass,916,24934328,0.553
discussion,917,24916863,0.553
weight,918,24916834,0.553
concept,919,24872158,0.553
costs,920,24765751,0.553
running,921,24704773,0.553
talking,922,24666930,0.554
features,923,24634273,0.554
million,924,24625508,0.554
environmental,925,24616177,0.554
moving,926,24488840,0.554
German,927,24485653,0.554
giving,928,24483784,0.554
association,929,24483006,0.554
placed,930,24403869,0.554
stopped,931,24365119,0.554
union,932,24342735,0.554
re,933,24319939,0.555
Europe,934,24286024,0.555
degree,935,24284205,0.555
identity,936,24267055,0.555
historical,937,24244888,0.555
negative,938,24204615,0.555
student,939,24201828,0.555
success,940,24188047,0.555
suddenly,941,24170220,0.555
offer,942,24164000,0.555
code,943,24121252,0.555
sleep,944,24080998,0.556
scale,945,24072710,0.556
character,946,24038419,0.556
clinical,947,24032026,0.556
staff,948,24025596,0.556
Christ,949,23988574,0.556
event,950,23978264,0.556
relations,951,23969786,0.556
western,952,23951166,0.556
changed,953,23936927,0.556
walk,954,23925018,0.556
wrote,955,23922405,0.557
workers,956,23785916,0.557
returned,957,23776054,0.557
politics,958,23774697,0.557
lack,959,23772104,0.557
multiple,960,23767027,0.557
certainly,961,23737900,0.557
faith,962,23727349,0.557
length,963,23717931,0.557
materials,964,23693038,0.557
march,965,23684654,0.557
previous,966,23640312,0.558
write,967,23640100,0.558
presented,968,23625208,0.558
phase,969,23622352,0.558
article,970,23602592,0.558
author,971,23586138,0.558
appear,972,23525989,0.558
literature,973,23475567,0.558
assessment,974,23462529,0.558
peace,975,23434190,0.558
husband,976,23363572,0.558
strength,977,23344159,0.559
forces,978,23320423,0.559
chance,979,23310959,0.559
onto,980,23274482,0.559
allowed,981,23244563,0.559
continue,982,23164580,0.559
sort,983,23158701,0.559
weeks,984,23135384,0.559
England,985,23088796,0.559
steps,986,23086496,0.559
task,987,23021884,0.559
miss,988,22981476,0.559
carried,989,22920642,0.560
civil,990,22913800,0.560
produced,991,22906919,0.560
address,992,22905295,0.560
numbers,993,22905256,0.560
differences,994,22860009,0.560
hundred,995,22852265,0.560
Bible,996,22832473,0.560
active,997,22797061,0.560
observed,998,22795120,0.560
nearly,999,22791072,0.560
computer,1000,22776074,0.561
planning,1001,22774413,0.561
brown,1002,22773799,0.561
base,1003,22763833,0.561
film,1004,22734094,0.561
actions,1005,22718761,0.561
beautiful,1006,22701250,0.561
importance,1007,22669428,0.561
traditional,1008,22665191,0.561
appeared,1009,22640753,0.561
died,1010,22640140,0.561
waiting,1011,22613124,0.561
hot,1012,22590053,0.562
compared,1013,22576318,0.562
June,1014,22507006,0.562
former,1015,22500561,0.562
develop,1016,22498966,0.562
protection,1017,22494376,0.562
explain,1018,22480417,0.562
discussed,1019,22477773,0.562
daily,1020,22473316,0.562
determined,1021,22460941,0.562
statement,1022,22455788,0.562
practices,1023,22408272,0.562
reference,1024,22401124,0.563
unit,1025,22393752,0.563
thank,1026,22380778,0.563
seven,1027,22353138,0.563
showed,1028,22350943,0.563
easily,1029,22338092,0.563
ones,1030,22324284,0.563
exactly,1031,22303597,0.563
smiled,1032,22292896,0.563
ran,1033,22259449,0.563
becomes,1034,22239518,0.563
