ngram,freq,share,cumshare,rank
scène,4100588,0.0001,0.6558,584
social,4099549,0.0001,0.6559,585
peuple,4096577,0.0001,0.6561,586
mars,4095902,0.0001,0.6562,587
garde,4090731,0.0001,0.6563,588
expression,4077380,0.0001,0.6565,589
juin,4077073,0.0001,0.6566,590
économique,4076013,0.0001,0.6568,591
différents,4074358,0.0001,0.6569,592
sein,4059512,0.0001,0.6571,593
semblait,4054117,0.0001,0.6572,594
produits,4052576,0.0001,0.6573,595
parti,4051647,0.0001,0.6575,596
pieds,4047081,0.0001,0.6576,597
mai,4030923,0.0001,0.6578,598
mer,4029831,0.0001,0.6579,599
doivent,4026877,0.0001,0.658,600
difficile,4020389,0.0001,0.6582,601
santé,4014903,0.0001,0.6583,602
services,4007509,0.0001,0.6585,603
nécessaire,4004318,0.0001,0.6586,604
plein,4000918,0.0001,0.6587,605
arrive,3996164,0.0001,0.6589,606
fallait,3993352,0.0001,0.659,607
organisation,3982531,0.0001,0.6592,608
bureau,3980397,0.0001,0.6593,609
éléments,3975314,0.0001,0.6594,610
Europe,3964401,0.0001,0.6596,611
culture,3960955,0.0001,0.6597,612
laisse,3958091,0.0001,0.6598,613
puisque,3953824,0.0001,0.66,614
prit,3950973,0.0001,0.6601,615
droite,3942675,0.0001,0.6603,616
entendu,3935825,0.0001,0.6604,617
demander,3932222,0.0001,0.6605,618
tes,3929955,0.0001,0.6607,619
analyse,3928405,0.0001,0.6608,620
sécurité,3923484,0.0001,0.6609,621
journée,3916061,0.0001,0.6611,622
plupart,3912285,0.0001,0.6612,623
faisant,3906415,0.0001,0.6614,624
différentes,3904885,0.0001,0.6615,625
caractère,3897658,0.0001,0.6616,626
voit,3897341,0.0001,0.6618,627
aurais,3893116,0.0001,0.6619,628
important,3884884,0.0001,0.662,629
six,3884183,0.0001,0.6622,630
désormais,3881301,0.0001,0.6623,631
discours,3877533,0.0001,0.6624,632
formation,3877493,0.0001,0.6626,633
dos,3872033,0.0001,0.6627,634
sortir,3867702,0.0001,0.6628,635
passage,3856215,0.0001,0.663,636
rouge,3855550,0.0001,0.6631,637
relations,3814673,0.0001,0.6632,638
entendre,3813216,0.0001,0.6634,639
période,3805255,0.0001,0.6635,640
parole,3799035,0.0001,0.6636,641
chercher,3797902,0.0001,0.6638,642
vois,3787442,0.0001,0.6639,643
présente,3784634,0.0001,0.664,644
produit,3784609,0.0001,0.6642,645
al,3780633,0.0001,0.6643,646
croire,3768140,0.0001,0.6644,647
note,3764855,0.0001,0.6646,648
contrôle,3759168,0.0001,0.6647,649
rester,3755797,0.0001,0.6648,650
impression,3746215,0.0001,0.665,651
endroit,3733031,0.0001,0.6651,652
but,3731339,0.0001,0.6652,653
décision,3725481,0.0001,0.6653,654
ligne,3721578,0.0001,0.6655,655
jeu,3713574,0.0001,0.6656,656
connaissance,3710539,0.0001,0.6657,657
départ,3708433,0.0001,0.6659,658
rire,3701822,0.0001,0.666,659
an,3700443,0.0001,0.6661,660
ah,3700277,0.0001,0.6662,661
durant,3700183,0.0001,0.6664,662
deuxième,3696556,0.0001,0.6665,663
signe,3682800,0.0001,0.6666,664
position,3678480,0.0001,0.6668,665
auprès,3669906,0.0001,0.6669,666
lèvres,3669759,0.0001,0.667,667
hors,3666989,0.0001,0.6671,668
blanc,3659231,0.0001,0.6673,669
production,3655544,0.0001,0.6674,670
oh,3643174,0.0001,0.6675,671
madame,3628549,0.0001,0.6677,672
ancien,3623137,0.0001,0.6678,673
toutefois,3622034,0.0001,0.6679,674
aura,3614636,0.0001,0.668,675
vit,3611797,0.0001,0.6682,676
mille,3605870,0.0001,0.6683,677
données,3605786,0.0001,0.6684,678
volonté,3603116,0.0001,0.6685,679
occasion,3597942,0.0001,0.6687,680
midi,3593167,0.0001,0.6688,681
véritable,3589240,0.0001,0.6689,682
devient,3584427,0.0001,0.669,683
faites,3579570,0.0001,0.6692,684
libre,3576827,0.0001,0.6693,685
confiance,3572807,0.0001,0.6694,686
justice,3572461,0.0001,0.6695,687
région,3563726,0.0001,0.6697,688
appelle,3557179,0.0001,0.6698,689
domaine,3550180,0.0001,0.6699,690
mémoire,3535355,0.0001,0.67,691
bord,3529902,0.0001,0.6702,692
désir,3494555,0.0001,0.6703,693
premiers,3494468,0.0001,0.6704,694
étude,3484257,0.0001,0.6705,695
études,3479000,0.0001,0.6706,696
gros,3473463,0.0001,0.6708,697
cuisine,3469487,0.0001,0.6709,698
acte,3469295,0.0001,0.671,699
moyens,3467755,0.0001,0.6711,700
juillet,3464257,0.0001,0.6712,701
devenir,3455443,0.0001,0.6714,702
armée,3452447,0.0001,0.6715,703
longue,3434665,0.0001,0.6716,704
voyage,3432186,0.0001,0.6717,705
village,3428899,0.0001,0.6718,706
modèle,3426932,0.0001,0.672,707
certaine,3418853,0.0001,0.6721,708
particulièrement,3406861,0.0001,0.6722,709
voie,3389011,0.0001,0.6723,710
activités,3388857,0.0001,0.6724,711
soient,3381601,0.0001,0.6726,712
furent,3380165,0.0001,0.6727,713
répondre,3379339,0.0001,0.6728,714
rapidement,3374794,0.0001,0.6729,715
musique,3374138,0.0001,0.673,716
sœur,3371413,0.0001,0.6731,717
vis,3366006,0.0001,0.6733,718
arrière,3365761,0.0001,0.6734,719
cit,3365437,0.0001,0.6735,720
